번호,분류,우선순위,중국어,병음,뜻,품사
585,14 통신·디지털·사진·미디어,2순위,照相机,zhàoxiàngjī,카메라,(명)
45,15 기본동작·일상행동,1순위,叫,jiào,외치다,(동)
48,15 기본동작·일상행동,1순위,开,kāi,"열다, 켜다",(동)
49,15 기본동작·일상행동,1순위,看,kàn,보다,(동)
50,15 기본동작·일상행동,1순위,看见,kànjiàn,"보이다, 눈에 띄다",(동)
101,15 기본동작·일상행동,1순위,睡觉,shuìjiào,잠을 자다,(동)
109,15 기본동작·일상행동,1순위,听,tīng,듣다,(동)
145,15 기본동작·일상행동,1순위,住,zhù,"살다, 숙박하다",(동)
148,15 기본동작·일상행동,1순위,坐,zuò,앉다,(동)
149,15 기본동작·일상행동,1순위,做,zuò,하다,(동)
158,15 기본동작·일상행동,1순위,长,cháng,길다,(형)
160,15 기본동작·일상행동,1순위,出,chū,나가다,(동)
162,15 기본동작·일상행동,1순위,穿,chuān,"입다, 신다",(동)
171,15 기본동작·일상행동,1순위,等,děng,기다리다,(동)
207,15 기본동작·일상행동,1순위,开始,kāishǐ,시작하다,(동)
230,15 기본동작·일상행동,1순위,跑步,pǎobù,달리다,(동)
234,15 기본동작·일상행동,1순위,起床,qǐchuáng,기상하다,(동)
247,15 기본동작·일상행동,1순위,送,sòng,"주다, 보내다",(동)
254,15 기본동작·일상행동,1순위,完,wán,끝내다,(동)
258,15 기본동작·일상행동,1순위,问,wèn,"묻다, 질문하다",(동)
262,15 기본동작·일상행동,1순위,笑,xiào,웃다,(동)
291,15 기본동작·일상행동,1순위,找,zhǎo,찾다,(동)
317,15 기본동작·일상행동,1순위,变化,biànhuà,변화하다 /(명)변화,(동)
341,15 기본동작·일상행동,1순위,出现,chūxiàn,출현하다,(동)
348,15 기본동작·일상행동,1순위,打扫,dǎsǎo,청소하다,(동)
368,15 기본동작·일상행동,1순위,放,fàng,"놓다, 놓아주다",(동)
372,15 기본동작·일상행동,1순위,发现,fāxiàn,발견하다,(동)
373,15 기본동작·일상행동,1순위,分,fēn,나누다,(동)
385,15 기본동작·일상행동,1순위,关,guān,"닫다, 끄다, 덮다",(동)
387,15 기본동작·일상행동,1순위,关心,guānxīn,관심을 갖다,(동)
418,15 기본동작·일상행동,1순위,接,jiē,"잇다, 연결하다",(동)
419,15 기본동작·일상행동,1순위,借,jiè,빌리다,(동)
422,15 기본동작·일상행동,1순위,解决,jiějué,해결하다,(동)
425,15 기본동작·일상행동,1순위,结束,jiéshù,"끝나다, 마치다",(동)
552,15 기본동작·일상행동,1순위,选择,xuǎnzé,"고르다, 선택하다",(동)
571,15 기본동작·일상행동,1순위,用,yòng,"사용하다, 쓰다",(동)
581,15 기본동작·일상행동,1순위,长,zhǎng,자라다,(동)
582,15 기본동작·일상행동,1순위,照顾,zhàogù,"보살피다, 돌보다",(동)
1,16 말하기·생각·기억·선택·관계동사,1순위,爱,ài,사랑하다,(동)
82,16 말하기·생각·기억·선택·관계동사,1순위,请,qǐng,청하다,(동)
86,16 말하기·생각·기억·선택·관계동사,1순위,认识,rènshi,(사람.글자) 알다,(동)
102,16 말하기·생각·기억·선택·관계동사,1순위,说话,shuōhuà,말하다,(동)
116,16 말하기·생각·기억·선택·관계동사,1순위,想,xiǎng,생각하다,(동)
125,16 말하기·생각·기억·선택·관계동사,1순위,谢谢,xièxie,감사합니다,(동)
126,16 말하기·생각·기억·선택·관계동사,1순위,喜欢,xǐhuan,좋아하다,(동)
154,16 말하기·생각·기억·선택·관계동사,1순위,帮助,bāngzhù,"돕다, 원조하다",(동)
174,16 말하기·생각·기억·선택·관계동사,1순위,懂,dǒng,"알다, 이해하다",(동)
175,16 말하기·생각·기억·선택·관계동사,1순위,对,duì,"맞다, 옳다",(형)
180,16 말하기·생각·기억·선택·관계동사,1순위,告诉,gàosu,알려주다,(동)
194,16 말하기·생각·기억·선택·관계동사,1순위,欢迎,huānyíng,환영하다,(동)
195,16 말하기·생각·기억·선택·관계동사,1순위,回答,huídá,대답하다,(동)
201,16 말하기·생각·기억·선택·관계동사,1순위,介绍,jièshào,소개하다,(동)
205,16 말하기·생각·기억·선택·관계동사,1순위,觉得,juéde,"느끼다, 생각하다",(동)
268,16 말하기·생각·기억·선택·관계동사,1순위,希望,xīwàng,바라다,(동)
295,16 말하기·생각·기억·선택·관계동사,1순위,知道,zhīdào,알다,(동)
311,16 말하기·생각·기억·선택·관계동사,1순위,帮忙,bāngmáng,(일손을) 돕다,(동)
318,16 말하기·생각·기억·선택·관계동사,1순위,表示,biǎoshì,"나타내다, 의미하다",(동)
346,16 말하기·생각·기억·선택·관계동사,1순위,担心,dānxīn,"걱정하다, 염려하다",(동)
393,16 말하기·생각·기억·선택·관계동사,1순위,害怕,hàipà,무서워하다,(동)
411,16 말하기·생각·기억·선택·관계동사,1순위,讲,jiǎng,"말하다, 이야기하다",(동)
413,16 말하기·생각·기억·선택·관계동사,1순위,见面,jiànmiàn,"만나다, 대면하다",(동)
417,16 말하기·생각·기억·선택·관계동사,1순위,记得,jìde,기억하고 있다,(동)
451,16 말하기·생각·기억·선택·관계동사,1순위,了解,liǎojiě,"알다, 이해하다",(동)
459,16 말하기·생각·기억·선택·관계동사,1순위,满意,mǎnyì,만족하다,(형)
465,16 말하기·생각·기억·선택·관계동사,1순위,明白,míngbai,"명백하다, 알다",(동)
490,16 말하기·생각·기억·선택·관계동사,1순위,认为,rènwéi,~라고 생각하다,(동)
520,16 말하기·생각·기억·선택·관계동사,1순위,同意,tóngyì,동의하다,(동)
528,16 말하기·생각·기억·선택·관계동사,1순위,忘记,wàngjì,(지난 일을) 잊다,(동)
539,16 말하기·생각·기억·선택·관계동사,1순위,相信,xiāngxìn,"믿다, 신임하다",(동)
540,16 말하기·생각·기억·선택·관계동사,1순위,小心,xiǎoxīn,조심하다,(동)
568,16 말하기·생각·기억·선택·관계동사,1순위,以为,yǐwéi,~인 줄 알다,(동)
575,16 말하기·생각·기억·선택·관계동사,1순위,愿意,yuànyì,"원하다, 동의하다",(동)
576,16 말하기·생각·기억·선택·관계동사,1순위,遇到,yùdào,"만나다, 마주치다",(동)
583,16 말하기·생각·기억·선택·관계동사,1순위,着急,zháojí,조급해하다,(동)
592,16 말하기·생각·기억·선택·관계동사,1순위,祝,zhù,"기원하다, 축하하다",(동)
594,16 말하기·생각·기억·선택·관계동사,1순위,注意,zhùyì,"주의하다, 조심하다",(동)
30,17 감정·성격·태도·평가,2순위,高兴,gāoxìng,"기쁘다, 즐겁다",(형)
35,17 감정·성격·태도·평가,2순위,好,hǎo,좋다,(형)
77,17 감정·성격·태도·평가,2순위,漂亮,piàoliang,예쁘다,(형)
165,17 감정·성격·태도·평가,2순위,错,cuò,틀리다,(형)
213,17 감정·성격·태도·평가,2순위,快乐,kuàilè,"즐겁다, 유쾌하다",(형)
214,17 감정·성격·태도·평가,2순위,累,lèi,피곤하다,(형)
221,17 감정·성격·태도·평가,2순위,忙,máng,바쁘다,(형)
265,17 감정·성격·태도·평가,2순위,新,xīn,새롭다,(형)
304,17 감정·성격·태도·평가,2순위,安静,ānjìng,조용하다,(형)
332,17 감정·성격·태도·평가,2순위,差,chà,차이가 나다 / 표준에 못 미치다,(형)
343,17 감정·성격·태도·평가,2순위,聪明,cōngming,"똑똑하다, 총명하다",(형)
370,17 감정·성격·태도·평가,2순위,放心,fàngxīn,안심하다,(동)
378,17 감정·성격·태도·평가,2순위,干净,gānjìng,깨끗하다,(형)
399,17 감정·성격·태도·평가,2순위,坏,huài,나쁘다,(형)
410,17 감정·성격·태도·평가,2순위,简单,jiǎndān,간단하다,(형)
439,17 감정·성격·태도·평가,2순위,可爱,kě'ài,귀엽다,(형)
469,17 감정·성격·태도·평가,2순위,难,nán,"어렵다, 힘들다",(형)
470,17 감정·성격·태도·평가,2순위,难过,nánguò,"괴롭다, 슬프다",(형)
483,17 감정·성격·태도·평가,2순위,奇怪,qíguài,"기이하다, 이상하다",(형)
491,17 감정·성격·태도·평가,2순위,认真,rènzhēn,"진지하다, 착실하다",(형)
492,17 감정·성격·태도·평가,2순위,热情,rèqíng,"열정적이다, 친절하다",(형)
493,17 감정·성격·태도·평가,2순위,容易,róngyì,쉽다,(형)
497,17 감정·성격·태도·평가,2순위,生气,shēngqì,"화내다, 성나다",(동)
573,17 감정·성격·태도·평가,2순위,有名,yǒumíng,유명하다,(형)
589,17 감정·성격·태도·평가,2순위,重要,zhòngyào,중요하다,(형)
13,18 크기·거리·속도·상태 형용사,2순위,大,dà,크다,(형)
119,18 크기·거리·속도·상태 형용사,2순위,小,xiǎo,작다,(형)
179,18 크기·거리·속도·상태 형용사,2순위,高,gāo,높다,(형)
203,18 크기·거리·속도·상태 형용사,2순위,近,jìn,가깝다,(형)
212,18 크기·거리·속도·상태 형용사,2순위,快,kuài,빠르다,(형)
220,18 크기·거리·속도·상태 형용사,2순위,慢,màn,느리다,(형)
285,18 크기·거리·속도·상태 형용사,2순위,远,yuǎn,멀다,(형)
302,18 크기·거리·속도·상태 형용사,2순위,矮,ǎi,(키가) 작다,(형)
352,18 크기·거리·속도·상태 형용사,2순위,低,dī,(높이가) 낮다,(형)
361,18 크기·거리·속도·상태 형용사,2순위,短,duǎn,(공간.시간) 짧다,(형)
369,18 크기·거리·속도·상태 형용사,2순위,方便,fāngbiàn,편리하다,(형)
433,18 크기·거리·속도·상태 형용사,2순위,旧,jiù,"낡다, 오래되다",(형)
447,18 크기·거리·속도·상태 형용사,2순위,老,lǎo,"늙다, 오래되다",(형)
472,18 크기·거리·속도·상태 형용사,2순위,年轻,niánqīng,젊다,(형)
569,18 크기·거리·속도·상태 형용사,2순위,一样,yíyàng,같다,(형)
152,19 색·모양·감각,2순위,白,bái,하얗다,(형)
192,19 색·모양·감각,2순위,黑,hēi,검다,(형)
193,19 색·모양·감각,2순위,红,hóng,붉다,(형)
402,19 색·모양·감각,2순위,黄,huáng,노랗다,(형)
446,19 색·모양·감각,2순위,蓝,lán,"남색의, 남빛의",(형)
457,19 색·모양·감각,2순위,绿,lǜ,푸르다,(형)
8,20 추상명사·사회·기타,3순위,不客气,búkèqi,천만에요,
22,20 추상명사·사회·기타,3순위,对不起,duìbuqǐ,미안합니다,(동)
41,20 추상명사·사회·기타,3순위,会,huì,~할 줄 안다,(동)
73,20 추상명사·사회·기타,3순위,你,nǐ,"너, 당신",(대)
94,20 추상명사·사회·기타,3순위,什么,shénme,"어떤, 무슨, 무엇",(대)
96,20 추상명사·사회·기타,3순위,是,shì,~이다,(동)
111,20 추상명사·사회·기타,3순위,喂,wèi,"여보세요, 어이",(감)
112,20 추상명사·사회·기타,3순위,我,wǒ,나,(대)
113,20 추상명사·사회·기타,3순위,我们,wǒmen,우리(들),(대)
136,20 추상명사·사회·기타,3순위,有,yǒu,있다,(동)
138,20 추상명사·사회·기타,3순위,在,zài,~에 있다,(동)
139,20 추상명사·사회·기타,3순위,再见,zàijiàn,"안녕, 또 만나요",(동)
177,20 추상명사·사회·기타,3순위,非常,fēicháng,"매우, 대단히",(부)
204,20 추상명사·사회·기타,3순위,就,jiù,"곧, 즉시",(부)
266,20 추상명사·사회·기타,3순위,姓,xìng,성이~이다 / /(명)성씨,(동)
267,20 추상명사·사회·기타,3순위,休息,xiūxi,쉬다,(동)
280,20 추상명사·사회·기타,3순위,意思,yìsi,"의미, 뜻",(명)
287,20 추상명사·사회·기타,3순위,再,zài,다시,(부)
325,20 추상명사·사회·기타,3순위,必须,bìxū,반드시~해야 한다,(부)
337,20 추상명사·사회·기타,3순위,迟到,chídào,지각하다,(동)
349,20 추상명사·사회·기타,3순위,打算,dǎsuan,~할 계획이다,(동)
376,20 추상명사·사회·기타,3순위,敢,gǎn,감히~하다,(조동)
386,20 추상명사·사회·기타,3순위,关系,guānxi,관계,(명)
421,20 추상명사·사회·기타,3순위,结婚,jiéhūn,결혼하다,(동)
474,20 추상명사·사회·기타,3순위,努力,nǔlì,노력하다,(동)
543,20 추상명사·사회·기타,3순위,习惯,xíguàn,습관 /(동)습관되다,(명)
